職缺名稱,職缺連結,公司名稱,工作地區,薪資待遇
【產品研發】AI 機器學習工程師,https://www.104.com.tw/job/7qzix?jobsource=jolist_a_relevance,艾得利智能行銷科技股份有限公司,台北市大安區,待遇面議
(中壢廠)資訊中心-暑期工讀生,https://www.104.com.tw/job/7kpe8?jobsource=jolist_a_relevance,華城電機股份有限公司,桃園市中壢區,"月薪27,300元"
PLC / SCADA / 大數據及AI應用  規劃工程師 & 儲備主管 (南部地區),https://www.104.com.tw/job/7w46u?jobsource=jolist_c_relevance,穎杰科技股份有限公司,高雄市左營區,待遇面議
【製程工程類】智慧製造工程師 (桃園廠),https://www.104.com.tw/job/53o9g?jobsource=jolist_c_relevance,景碩科技股份有限公司,桃園市新屋區,待遇面議
"【數位金融】資料科學工程師 (數數發中心,DDT)",https://www.104.com.tw/job/6v7pz?jobsource=jolist_c_relevance,國泰世華商業銀行股份有限公司_人力資源部,台北市信義區,待遇面議
軟體專案管理師(U003),https://www.104.com.tw/job/7xalc?jobsource=jolist_c_relevance,樂夠科技有限公司,台中市西屯區,待遇面議
資深程式設計師,https://www.104.com.tw/job/2fwlt?jobsource=jolist_c_relevance,震旦集團_震旦行股份有限公司,台北市信義區,"月薪40,000~55,000元"
語意大數據產品開發PM,https://www.104.com.tw/job/7b7xx?jobsource=jolist_c_relevance,亞洲指標數位行銷顧問股份有限公司,台北市松山區,"月薪35,000~60,000元"
醫學研究部_統計分析師,https://www.104.com.tw/job/7upr8?jobsource=jolist_c_relevance,中山醫學大學附設醫院,台中市南區,"月薪37,600元以上"
經管處專員,https://www.104.com.tw/job/7zxwe?jobsource=jolist_c_relevance,天主教靈醫會醫療財團法人羅東聖母醫院,宜蘭縣羅東鎮,"月薪27,100~28,100元"
軟體工程師0106,https://www.104.com.tw/job/6ce33?jobsource=jolist_c_relevance,Phison Electronics Corp_群聯電子股份有限公司,苗栗縣竹南鎮,待遇面議
(中壢廠)資訊中心-暑期工讀生,https://www.104.com.tw/job/7kpe8?jobsource=jolist_c_relevance,華城電機股份有限公司,桃園市中壢區,"月薪27,300元"
交通工程師-B100002901,https://www.104.com.tw/job/7nj8i?jobsource=jolist_c_relevance,台灣世曦工程顧問股份有限公司,台北市內湖區,待遇面議
碳管理專案經理,https://www.104.com.tw/job/7ye3v?jobsource=jolist_c_relevance,環資國際有限公司,台北市萬華區,"月薪55,000~70,000元"
資訊室-資深軟體工程師(中港院區),https://www.104.com.tw/job/34mv0?jobsource=jolist_c_relevance,澄清綜合醫院,台中市西屯區,待遇面議
Senior Data Engineer（每月有遠端日）,https://www.104.com.tw/job/7ejuq?jobsource=jolist_c_relevance,英屬維京群島商幣託科技有限公司台灣分公司,台北市松山區,遠端工作
數據工程師_2896*,https://www.104.com.tw/job/7td53?jobsource=jolist_c_relevance,遊戲橘子數位科技股份有限公司,台北市內湖區,待遇面議
業務工程師(新竹廠)R98,https://www.104.com.tw/job/4355r?jobsource=jolist_c_relevance,友達光電股份有限公司,新竹市,待遇面議
數據分析師(風險管理),https://www.104.com.tw/job/7o6x8?jobsource=jolist_c_relevance,華南商業銀行股份有限公司,台北市信義區,"月薪50,000元以上"
【數轉院/健康數據科技中心】行為科學領域專案PM/研究人員,https://www.104.com.tw/job/7t4cd?jobsource=jolist_c_relevance,資策會_財團法人資訊工業策進會,台北市松山區,待遇面議
系統需求管理師,https://www.104.com.tw/job/7chmx?jobsource=jolist_c_relevance,愛地雅工業股份有限公司,台中市梧棲區,待遇面議
業務專員【BIG DATA】,https://www.104.com.tw/job/5rncb?jobsource=jolist_c_relevance,麗臺科技股份有限公司,新北市中和區,待遇面議
Java工程師,https://www.104.com.tw/job/6d8k0?jobsource=jolist_c_relevance,共贏資訊科技服務有限公司,台北市信義區,"月薪100,000~130,000元"
程式設計師-台北(A06),https://www.104.com.tw/job/4fdg9?jobsource=jolist_c_relevance,國際厚生數位科技股份有限公司,台北市中正區,"月薪35,000~80,000元"
PHP後端工程師,https://www.104.com.tw/job/7m8rk?jobsource=jolist_c_relevance,匯陞資訊有限公司,台北市大安區,遠端工作
【台大醫學院】專任研究助理,https://www.104.com.tw/job/7y7z7?jobsource=jolist_c_relevance,台大醫學院_內科部,台北市中正區,"月薪33,765~40,000元"
韌體工程師0106,https://www.104.com.tw/job/7qq24?jobsource=jolist_c_relevance,Phison Electronics Corp_群聯電子股份有限公司,苗栗縣竹南鎮,待遇面議
會計助理,https://www.104.com.tw/job/57874?jobsource=jolist_c_relevance,肯岳亞股份有限公司,台中市南屯區,"月薪34,500~44,000元"
人資助理,https://www.104.com.tw/job/2ugef?jobsource=jolist_c_relevance,肯岳亞股份有限公司,台中市南屯區,"月薪33,000~42,000元"
【擴編徵才】資深-JAVA 後端軟體工程師,https://www.104.com.tw/job/7g0uz?jobsource=jolist_c_relevance,聯訊網路有限公司,台中市西區,"月薪100,000元以上"
【土城】資料科學家,https://www.104.com.tw/job/800gw?jobsource=jolist_c_relevance,雲智匯科技服務股份有限公司,新北市土城區,"月薪80,000元以上"
軟體研發人員,https://www.104.com.tw/job/7cwx1?jobsource=jolist_c_relevance,台灣基礎開發科技股份有限公司,台中市大里區,"月薪30,000~35,000元"
產品經理（Product Manager）,https://www.104.com.tw/job/77slc?jobsource=jolist_c_relevance,艾普特媒體有限公司,台北市中山區,待遇面議
產品PM/專案管理工程師(新竹廠)R98,https://www.104.com.tw/job/5x9se?jobsource=jolist_c_relevance,友達光電股份有限公司,新竹市,待遇面議
【採線上面談】Principal Software Engineer / Programmer - Annual Salary 3M+,https://www.104.com.tw/job/57xvg?jobsource=jolist_c_relevance,新加坡商鈦坦科技股份有限公司台灣分公司,台北市南港區,"年薪3,000,000~4,000,000元"
資料工程師(數據應用部),https://www.104.com.tw/job/7bka6?jobsource=jolist_c_relevance,永豐金證券股份有限公司,台北市中正區,待遇面議
【數位整合】_商業分析師(股票代號：6539),https://www.104.com.tw/job/7a83q?jobsource=jolist_c_relevance,麗彤生醫科技股份有限公司,台北市內湖區,待遇面議
【數據發展部】數據分析師-演算,https://www.104.com.tw/job/4u5lb?jobsource=jolist_c_relevance,聯合報股份有限公司,台北市信義區,待遇面議
軟體工程師(數據科學),https://www.104.com.tw/job/7sit4?jobsource=jolist_c_relevance,摯陞數位科技有限公司,高雄市苓雅區,"月薪35,000~70,000元"
業務工程師,https://www.104.com.tw/job/6yqqj?jobsource=jolist_c_relevance,迪麥科技股份有限公司,新竹縣竹北市,"年薪600,000~1,200,000元"
副總經理,https://www.104.com.tw/job/7kb08?jobsource=jolist_c_relevance,亞洲物流股份有限公司,台北市文山區,待遇面議
"【數位金融】雲端數據工程師(數數發中心, DDT)(高雄)",https://www.104.com.tw/job/7sf4c?jobsource=jolist_c_relevance,國泰世華商業銀行股份有限公司_人力資源部,高雄市前鎮區,待遇面議
調查研究專題中心-資料分析師,https://www.104.com.tw/job/7xqoj?jobsource=jolist_c_relevance,中央研究院_人文社會科學研究中心,台北市南港區,"月薪48,015~92,605元"
供應鏈管理專員,https://www.104.com.tw/job/7qabe?jobsource=jolist_c_relevance,和泰汽車股份有限公司,桃園市楊梅區,"月薪40,000~83,000元"
資深大數據分析工程師,https://www.104.com.tw/job/7ytrg?jobsource=jolist_c_relevance,行動學習科技股份有限公司,台南市東區,遠端工作
